,x,y
1224,894365.3049067712,6276628.948875786
1225,894365.3049067712,6277439.916953387
1226,894365.3049067712,6278250.885030988
1227,894365.3049067712,6279061.853108589
1228,894365.3049067712,6279872.82118619
1229,894365.3049067712,6280683.7892637905
1230,894365.3049067712,6281494.757341391
1231,894365.3049067712,6282305.725418992
1232,894365.3049067712,6283116.693496593
1233,894365.3049067712,6283927.661574194
1234,894365.3049067712,6284738.629651795
1235,894365.3049067712,6285549.597729396
1236,894365.3049067712,6286360.565806997
1237,894365.3049067712,6287171.533884598
1238,894365.3049067712,6287982.501962199
1239,894365.3049067712,6288793.4700398
1245,894365.3049067712,6293659.278505405
1246,894365.3049067712,6294470.246583006
1247,894365.3049067712,6295281.214660607
1248,894365.3049067712,6296092.182738208
1249,894365.3049067712,6296903.150815809
1250,894365.3049067712,6297714.11889341
1251,894365.3049067712,6298525.086971011
1252,894365.3049067712,6299336.055048612
1253,894365.3049067712,6300147.023126213
1254,894365.3049067712,6300957.991203814
1255,894365.3049067712,6301768.959281415
1256,894365.3049067712,6302579.927359016
1257,894365.3049067712,6303390.895436617
1268,895176.272984372,6263653.459634171
1269,895176.272984372,6264464.427711772
1270,895176.272984372,6265275.395789373
1271,895176.272984372,6266086.363866974
1272,895176.272984372,6266897.331944575
1276,895176.272984372,6270141.204254978
1277,895176.272984372,6270952.172332579
1278,895176.272984372,6271763.14041018
1279,895176.272984372,6272574.108487781
1280,895176.272984372,6273385.076565382
1281,895176.272984372,6274196.044642983
1282,895176.272984372,6275007.012720584
1283,895176.272984372,6275817.980798185
1284,895176.272984372,6276628.948875786
1285,895176.272984372,6277439.916953387
1286,895176.272984372,6278250.885030988
1287,895176.272984372,6279061.853108589
1288,895176.272984372,6279872.82118619
1289,895176.272984372,6280683.7892637905
1290,895176.272984372,6281494.757341391
1291,895176.272984372,6282305.725418992
1292,895176.272984372,6283116.693496593
1293,895176.272984372,6283927.661574194
1294,895176.272984372,6284738.629651795
1295,895176.272984372,6285549.597729396
1296,895176.272984372,6286360.565806997
1297,895176.272984372,6287171.533884598
1298,895176.272984372,6287982.501962199
1299,895176.272984372,6288793.4700398
1305,895176.272984372,6293659.278505405
1306,895176.272984372,6294470.246583006
1307,895176.272984372,6295281.214660607
1308,895176.272984372,6296092.182738208
1309,895176.272984372,6296903.150815809
1310,895176.272984372,6297714.11889341
1311,895176.272984372,6298525.086971011
1312,895176.272984372,6299336.055048612
1313,895176.272984372,6300147.023126213
1314,895176.272984372,6300957.991203814
1315,895176.272984372,6301768.959281415
1316,895176.272984372,6302579.927359016
1317,895176.272984372,6303390.895436617
1329,895987.2410619728,6264464.427711772
1330,895987.2410619728,6265275.395789373
1331,895987.2410619728,6266086.363866974
1332,895987.2410619728,6266897.331944575
1333,895987.2410619728,6267708.300022176
1334,895987.2410619728,6268519.2680997765
1335,895987.2410619728,6269330.236177377
1336,895987.2410619728,6270141.204254978
1337,895987.2410619728,6270952.172332579
1338,895987.2410619728,6271763.14041018
1339,895987.2410619728,6272574.108487781
1340,895987.2410619728,6273385.076565382
1341,895987.2410619728,6274196.044642983
1342,895987.2410619728,6275007.012720584
1343,895987.2410619728,6275817.980798185
1344,895987.2410619728,6276628.948875786
1345,895987.2410619728,6277439.916953387
1346,895987.2410619728,6278250.885030988
1347,895987.2410619728,6279061.853108589
1348,895987.2410619728,6279872.82118619
1349,895987.2410619728,6280683.7892637905
1350,895987.2410619728,6281494.757341391
1351,895987.2410619728,6282305.725418992
1352,895987.2410619728,6283116.693496593
1353,895987.2410619728,6283927.661574194
1354,895987.2410619728,6284738.629651795
1355,895987.2410619728,6285549.597729396
1356,895987.2410619728,6286360.565806997
1357,895987.2410619728,6287171.533884598
1358,895987.2410619728,6287982.501962199
1365,895987.2410619728,6293659.278505405
1366,895987.2410619728,6294470.246583006
1367,895987.2410619728,6295281.214660607
1368,895987.2410619728,6296092.182738208
1369,895987.2410619728,6296903.150815809
1370,895987.2410619728,6297714.11889341
1371,895987.2410619728,6298525.086971011
1372,895987.2410619728,6299336.055048612
1373,895987.2410619728,6300147.023126213
1374,895987.2410619728,6300957.991203814
1375,895987.2410619728,6301768.959281415
1376,895987.2410619728,6302579.927359016
1377,895987.2410619728,6303390.895436617
1389,896798.2091395736,6264464.427711772
1390,896798.2091395736,6265275.395789373
1391,896798.2091395736,6266086.363866974
1392,896798.2091395736,6266897.331944575
1393,896798.2091395736,6267708.300022176
1394,896798.2091395736,6268519.2680997765
1395,896798.2091395736,6269330.236177377
1396,896798.2091395736,6270141.204254978
1397,896798.2091395736,6270952.172332579
1398,896798.2091395736,6271763.14041018
1399,896798.2091395736,6272574.108487781
1400,896798.2091395736,6273385.076565382
1401,896798.2091395736,6274196.044642983
1402,896798.2091395736,6275007.012720584
1403,896798.2091395736,6275817.980798185
1404,896798.2091395736,6276628.948875786
1405,896798.2091395736,6277439.916953387
1406,896798.2091395736,6278250.885030988
1407,896798.2091395736,6279061.853108589
1408,896798.2091395736,6279872.82118619
1409,896798.2091395736,6280683.7892637905
1410,896798.2091395736,6281494.757341391
1411,896798.2091395736,6282305.725418992
1412,896798.2091395736,6283116.693496593
1413,896798.2091395736,6283927.661574194
1414,896798.2091395736,6284738.629651795
1415,896798.2091395736,6285549.597729396
1416,896798.2091395736,6286360.565806997
1417,896798.2091395736,6287171.533884598
1418,896798.2091395736,6287982.501962199
1419,896798.2091395736,6288793.4700398
1421,896798.2091395736,6290415.406195002
1422,896798.2091395736,6291226.374272603
1423,896798.2091395736,6292037.342350204
1424,896798.2091395736,6292848.3104278045
1425,896798.2091395736,6293659.278505405
1426,896798.2091395736,6294470.246583006
1427,896798.2091395736,6295281.214660607
1428,896798.2091395736,6296092.182738208
1429,896798.2091395736,6296903.150815809
1430,896798.2091395736,6297714.11889341
1431,896798.2091395736,6298525.086971011
1432,896798.2091395736,6299336.055048612
1433,896798.2091395736,6300147.023126213
1434,896798.2091395736,6300957.991203814
1435,896798.2091395736,6301768.959281415
1436,896798.2091395736,6302579.927359016
1437,896798.2091395736,6303390.895436617
1451,897609.1772171744,6266086.363866974
1452,897609.1772171744,6266897.331944575
1453,897609.1772171744,6267708.300022176
1454,897609.1772171744,6268519.2680997765
1455,897609.1772171744,6269330.236177377
1456,897609.1772171744,6270141.204254978
1457,897609.1772171744,6270952.172332579
1458,897609.1772171744,6271763.14041018
1459,897609.1772171744,6272574.108487781
1460,897609.1772171744,6273385.076565382
1461,897609.1772171744,6274196.044642983
1462,897609.1772171744,6275007.012720584
1463,897609.1772171744,6275817.980798185
1464,897609.1772171744,6276628.948875786
1465,897609.1772171744,6277439.916953387
1466,897609.1772171744,6278250.885030988
1467,897609.1772171744,6279061.853108589
1468,897609.1772171744,6279872.82118619
1469,897609.1772171744,6280683.7892637905
1470,897609.1772171744,6281494.757341391
1471,897609.1772171744,6282305.725418992
1472,897609.1772171744,6283116.693496593
1473,897609.1772171744,6283927.661574194
1474,897609.1772171744,6284738.629651795
1475,897609.1772171744,6285549.597729396
1476,897609.1772171744,6286360.565806997
1477,897609.1772171744,6287171.533884598
1478,897609.1772171744,6287982.501962199
1479,897609.1772171744,6288793.4700398
1480,897609.1772171744,6289604.438117401
1481,897609.1772171744,6290415.406195002
1482,897609.1772171744,6291226.374272603
1483,897609.1772171744,6292037.342350204
1484,897609.1772171744,6292848.3104278045
1485,897609.1772171744,6293659.278505405
1486,897609.1772171744,6294470.246583006
1487,897609.1772171744,6295281.214660607
1488,897609.1772171744,6296092.182738208
1489,897609.1772171744,6296903.150815809
1490,897609.1772171744,6297714.11889341
1491,897609.1772171744,6298525.086971011
1492,897609.1772171744,6299336.055048612
1493,897609.1772171744,6300147.023126213
1494,897609.1772171744,6300957.991203814
1495,897609.1772171744,6301768.959281415
1496,897609.1772171744,6302579.927359016
1497,897609.1772171744,6303390.895436617
1498,897609.1772171744,6304201.863514218
1512,898420.1452947753,6266897.331944575
1513,898420.1452947753,6267708.300022176
1514,898420.1452947753,6268519.2680997765
1515,898420.1452947753,6269330.236177377
1516,898420.1452947753,6270141.204254978
1517,898420.1452947753,6270952.172332579
1518,898420.1452947753,6271763.14041018
1519,898420.1452947753,6272574.108487781
1520,898420.1452947753,6273385.076565382
1521,898420.1452947753,6274196.044642983
1522,898420.1452947753,6275007.012720584
1523,898420.1452947753,6275817.980798185
1524,898420.1452947753,6276628.948875786
1525,898420.1452947753,6277439.916953387
1526,898420.1452947753,6278250.885030988
1527,898420.1452947753,6279061.853108589
1528,898420.1452947753,6279872.82118619
1529,898420.1452947753,6280683.7892637905
1530,898420.1452947753,6281494.757341391
1531,898420.1452947753,6282305.725418992
1532,898420.1452947753,6283116.693496593
1533,898420.1452947753,6283927.661574194
1534,898420.1452947753,6284738.629651795
1535,898420.1452947753,6285549.597729396
1536,898420.1452947753,6286360.565806997
1537,898420.1452947753,6287171.533884598
1538,898420.1452947753,6287982.501962199
1539,898420.1452947753,6288793.4700398
1540,898420.1452947753,6289604.438117401
1541,898420.1452947753,6290415.406195002
1542,898420.1452947753,6291226.374272603
1543,898420.1452947753,6292037.342350204
1544,898420.1452947753,6292848.3104278045
1545,898420.1452947753,6293659.278505405
1546,898420.1452947753,6294470.246583006
1547,898420.1452947753,6295281.214660607
1548,898420.1452947753,6296092.182738208
1549,898420.1452947753,6296903.150815809
1550,898420.1452947753,6297714.11889341
1551,898420.1452947753,6298525.086971011
1552,898420.1452947753,6299336.055048612
1553,898420.1452947753,6300147.023126213
1554,898420.1452947753,6300957.991203814
1555,898420.1452947753,6301768.959281415
1556,898420.1452947753,6302579.927359016
1557,898420.1452947753,6303390.895436617
1558,898420.1452947753,6304201.863514218
1572,899231.1133723761,6266897.331944575
1573,899231.1133723761,6267708.300022176
1574,899231.1133723761,6268519.2680997765
1575,899231.1133723761,6269330.236177377
1576,899231.1133723761,6270141.204254978
1577,899231.1133723761,6270952.172332579
1578,899231.1133723761,6271763.14041018
1579,899231.1133723761,6272574.108487781
1580,899231.1133723761,6273385.076565382
1581,899231.1133723761,6274196.044642983
1582,899231.1133723761,6275007.012720584
1583,899231.1133723761,6275817.980798185
1584,899231.1133723761,6276628.948875786
1585,899231.1133723761,6277439.916953387
1586,899231.1133723761,6278250.885030988
1587,899231.1133723761,6279061.853108589
1588,899231.1133723761,6279872.82118619
1589,899231.1133723761,6280683.7892637905
1590,899231.1133723761,6281494.757341391
1591,899231.1133723761,6282305.725418992
1592,899231.1133723761,6283116.693496593
1593,899231.1133723761,6283927.661574194
1594,899231.1133723761,6284738.629651795
1595,899231.1133723761,6285549.597729396
1596,899231.1133723761,6286360.565806997
1597,899231.1133723761,6287171.533884598
1598,899231.1133723761,6287982.501962199
1599,899231.1133723761,6288793.4700398
1600,899231.1133723761,6289604.438117401
1601,899231.1133723761,6290415.406195002
1602,899231.1133723761,6291226.374272603
1603,899231.1133723761,6292037.342350204
1604,899231.1133723761,6292848.3104278045
1605,899231.1133723761,6293659.278505405
1606,899231.1133723761,6294470.246583006
1607,899231.1133723761,6295281.214660607
1608,899231.1133723761,6296092.182738208
1609,899231.1133723761,6296903.150815809
1610,899231.1133723761,6297714.11889341
1611,899231.1133723761,6298525.086971011
1612,899231.1133723761,6299336.055048612
1613,899231.1133723761,6300147.023126213
1614,899231.1133723761,6300957.991203814
1615,899231.1133723761,6301768.959281415
1616,899231.1133723761,6302579.927359016
1617,899231.1133723761,6303390.895436617
1618,899231.1133723761,6304201.863514218
1632,900042.0814499769,6266897.331944575
1633,900042.0814499769,6267708.300022176
1634,900042.0814499769,6268519.2680997765
1635,900042.0814499769,6269330.236177377
1636,900042.0814499769,6270141.204254978
1637,900042.0814499769,6270952.172332579
1638,900042.0814499769,6271763.14041018
1639,900042.0814499769,6272574.108487781
1640,900042.0814499769,6273385.076565382
1641,900042.0814499769,6274196.044642983
1642,900042.0814499769,6275007.012720584
1643,900042.0814499769,6275817.980798185
1644,900042.0814499769,6276628.948875786
1645,900042.0814499769,6277439.916953387
1646,900042.0814499769,6278250.885030988
1647,900042.0814499769,6279061.853108589
1648,900042.0814499769,6279872.82118619
1649,900042.0814499769,6280683.7892637905
1650,900042.0814499769,6281494.757341391
1651,900042.0814499769,6282305.725418992
1652,900042.0814499769,6283116.693496593
1653,900042.0814499769,6283927.661574194
1654,900042.0814499769,6284738.629651795
1655,900042.0814499769,6285549.597729396
1656,900042.0814499769,6286360.565806997
1657,900042.0814499769,6287171.533884598
1658,900042.0814499769,6287982.501962199
1659,900042.0814499769,6288793.4700398
1660,900042.0814499769,6289604.438117401
1661,900042.0814499769,6290415.406195002
1662,900042.0814499769,6291226.374272603
1663,900042.0814499769,6292037.342350204
1664,900042.0814499769,6292848.3104278045
1665,900042.0814499769,6293659.278505405
1666,900042.0814499769,6294470.246583006
1667,900042.0814499769,6295281.214660607
1668,900042.0814499769,6296092.182738208
1669,900042.0814499769,6296903.150815809
1670,900042.0814499769,6297714.11889341
1671,900042.0814499769,6298525.086971011
1672,900042.0814499769,6299336.055048612
1673,900042.0814499769,6300147.023126213
1674,900042.0814499769,6300957.991203814
1675,900042.0814499769,6301768.959281415
1676,900042.0814499769,6302579.927359016
1677,900042.0814499769,6303390.895436617
1678,900042.0814499769,6304201.863514218
1679,900042.0814499769,6305012.8315918185
1693,900853.0495275777,6267708.300022176
1694,900853.0495275777,6268519.2680997765
1695,900853.0495275777,6269330.236177377
1696,900853.0495275777,6270141.204254978
1697,900853.0495275777,6270952.172332579
1698,900853.0495275777,6271763.14041018
1699,900853.0495275777,6272574.108487781
1700,900853.0495275777,6273385.076565382
1701,900853.0495275777,6274196.044642983
1702,900853.0495275777,6275007.012720584
1703,900853.0495275777,6275817.980798185
1704,900853.0495275777,6276628.948875786
1705,900853.0495275777,6277439.916953387
1706,900853.0495275777,6278250.885030988
1707,900853.0495275777,6279061.853108589
1708,900853.0495275777,6279872.82118619
1709,900853.0495275777,6280683.7892637905
1710,900853.0495275777,6281494.757341391
1711,900853.0495275777,6282305.725418992
1712,900853.0495275777,6283116.693496593
1713,900853.0495275777,6283927.661574194
1714,900853.0495275777,6284738.629651795
1715,900853.0495275777,6285549.597729396
1716,900853.0495275777,6286360.565806997
1717,900853.0495275777,6287171.533884598
1718,900853.0495275777,6287982.501962199
1719,900853.0495275777,6288793.4700398
1720,900853.0495275777,6289604.438117401
1721,900853.0495275777,6290415.406195002
1722,900853.0495275777,6291226.374272603
1723,900853.0495275777,6292037.342350204
1724,900853.0495275777,6292848.3104278045
1725,900853.0495275777,6293659.278505405
1726,900853.0495275777,6294470.246583006
1727,900853.0495275777,6295281.214660607
1728,900853.0495275777,6296092.182738208
1729,900853.0495275777,6296903.150815809
1730,900853.0495275777,6297714.11889341
1731,900853.0495275777,6298525.086971011
1732,900853.0495275777,6299336.055048612
1733,900853.0495275777,6300147.023126213
1734,900853.0495275777,6300957.991203814
1735,900853.0495275777,6301768.959281415
1736,900853.0495275777,6302579.927359016
1737,900853.0495275777,6303390.895436617
1738,900853.0495275777,6304201.863514218
1753,901664.0176051785,6267708.300022176
1754,901664.0176051785,6268519.2680997765
1755,901664.0176051785,6269330.236177377
1756,901664.0176051785,6270141.204254978
1757,901664.0176051785,6270952.172332579
1758,901664.0176051785,6271763.14041018
1759,901664.0176051785,6272574.108487781
1760,901664.0176051785,6273385.076565382
1761,901664.0176051785,6274196.044642983
1762,901664.0176051785,6275007.012720584
1763,901664.0176051785,6275817.980798185
1764,901664.0176051785,6276628.948875786
1765,901664.0176051785,6277439.916953387
1766,901664.0176051785,6278250.885030988
1767,901664.0176051785,6279061.853108589
1768,901664.0176051785,6279872.82118619
1769,901664.0176051785,6280683.7892637905
1770,901664.0176051785,6281494.757341391
1771,901664.0176051785,6282305.725418992
1772,901664.0176051785,6283116.693496593
1773,901664.0176051785,6283927.661574194
1774,901664.0176051785,6284738.629651795
1775,901664.0176051785,6285549.597729396
1776,901664.0176051785,6286360.565806997
1777,901664.0176051785,6287171.533884598
1778,901664.0176051785,6287982.501962199
1779,901664.0176051785,6288793.4700398
1780,901664.0176051785,6289604.438117401
1781,901664.0176051785,6290415.406195002
1782,901664.0176051785,6291226.374272603
1783,901664.0176051785,6292037.342350204
1784,901664.0176051785,6292848.3104278045
1785,901664.0176051785,6293659.278505405
1786,901664.0176051785,6294470.246583006
1787,901664.0176051785,6295281.214660607
1788,901664.0176051785,6296092.182738208
1789,901664.0176051785,6296903.150815809
1790,901664.0176051785,6297714.11889341
1791,901664.0176051785,6298525.086971011
1792,901664.0176051785,6299336.055048612
1793,901664.0176051785,6300147.023126213
1794,901664.0176051785,6300957.991203814
1795,901664.0176051785,6301768.959281415
1796,901664.0176051785,6302579.927359016
1797,901664.0176051785,6303390.895436617
1813,902474.9856827793,6267708.300022176
1814,902474.9856827793,6268519.2680997765
1815,902474.9856827793,6269330.236177377
1816,902474.9856827793,6270141.204254978
1817,902474.9856827793,6270952.172332579
1818,902474.9856827793,6271763.14041018
1819,902474.9856827793,6272574.108487781
1820,902474.9856827793,6273385.076565382
1821,902474.9856827793,6274196.044642983
1822,902474.9856827793,6275007.012720584
1823,902474.9856827793,6275817.980798185
1824,902474.9856827793,6276628.948875786
1825,902474.9856827793,6277439.916953387
1826,902474.9856827793,6278250.885030988
1827,902474.9856827793,6279061.853108589
1828,902474.9856827793,6279872.82118619
1829,902474.9856827793,6280683.7892637905
1830,902474.9856827793,6281494.757341391
1831,902474.9856827793,6282305.725418992
1832,902474.9856827793,6283116.693496593
1833,902474.9856827793,6283927.661574194
1834,902474.9856827793,6284738.629651795
1835,902474.9856827793,6285549.597729396
1836,902474.9856827793,6286360.565806997
1837,902474.9856827793,6287171.533884598
1838,902474.9856827793,6287982.501962199
1839,902474.9856827793,6288793.4700398
1840,902474.9856827793,6289604.438117401
1841,902474.9856827793,6290415.406195002
1842,902474.9856827793,6291226.374272603
1843,902474.9856827793,6292037.342350204
1844,902474.9856827793,6292848.3104278045
1845,902474.9856827793,6293659.278505405
1846,902474.9856827793,6294470.246583006
1847,902474.9856827793,6295281.214660607
1848,902474.9856827793,6296092.182738208
1849,902474.9856827793,6296903.150815809
1850,902474.9856827793,6297714.11889341
1851,902474.9856827793,6298525.086971011
1852,902474.9856827793,6299336.055048612
1853,902474.9856827793,6300147.023126213
1854,902474.9856827793,6300957.991203814
1855,902474.9856827793,6301768.959281415
1856,902474.9856827793,6302579.927359016
1857,902474.9856827793,6303390.895436617
1874,903285.9537603802,6268519.2680997765
1875,903285.9537603802,6269330.236177377
1876,903285.9537603802,6270141.204254978
1877,903285.9537603802,6270952.172332579
