,O,D,f,r,tol
62,POINT (916045.795495491 6297067.570338919),POINT (917816.1419850314 6294951.142191928),0.0015267740294360988,10000.0,0.2
63,POINT (910459.6588954278 6295789.622228208),POINT (907831.0305785653 6289590.665750497),0.0030688177337790078,10000.0,0.2
64,POINT (902919.0705974934 6299915.636928797),POINT (903598.0386453315 6300694.706688043),0.0006757328532703325,10000.0,0.2
65,POINT (900733.8118603668 6275028.646425843),POINT (900764.3897108077 6273587.0382841565),0.0012054211744193582,10000.0,0.2
66,POINT (908647.8169331311 6277457.653604995),POINT (909633.2072561343 6279732.577709975),0.0009650567525348318,10000.0,0.2
67,POINT (907235.1795277343 6290093.244803349),POINT (908896.7309190546 6282121.406895136),0.0031873213124794103,10000.0,0.2
68,POINT (908213.2967157715 6289614.2062916625),POINT (908575.1050563077 6290317.771104301),0.0034278934444506876,10000.0,0.2
69,POINT (909191.6806055713 6292035.662358476),POINT (908881.7912356319 6290173.092270975),0.004348111111494438,10000.0,0.2
70,POINT (891288.3753055006 6279018.605431573),POINT (903999.3414617463 6291473.973186668),0.0004180460855208946,10000.0,0.2
71,POINT (908428.8986340032 6288102.56536179),POINT (909150.32775307 6288182.230862919),0.0023875636602729428,10000.0,0.2
72,POINT (906316.3080675408 6291467.413312178),POINT (907994.4141561878 6290008.181575999),0.003351351830687026,10000.0,0.2
73,POINT (912087.72674092 6291255.0606995765),POINT (908055.1196517216 6293137.442571599),0.0029231257816541407,10000.0,0.2
74,POINT (891624.2636811831 6283008.050297124),POINT (911425.2631631134 6273708.433049306),0.0011491754851640646,10000.0,0.2
75,POINT (908805.2073045315 6293687.627670087),POINT (915412.0281170802 6294120.623531979),0.003838865313853163,10000.0,0.2
76,POINT (890895.3326565585 6283393.394576607),POINT (890463.224633708 6283393.352901618),0.0009441607747548285,10000.0,0.2
77,POINT (908365.9046823897 6274760.626946279),POINT (911758.9008236027 6289696.571311384),0.0008732438502695917,10000.0,0.2
78,POINT (904580.0117385727 6283822.026197067),POINT (903716.7608159703 6284412.369955407),0.0014135476891258515,10000.0,0.2
79,POINT (896082.484076264 6292933.076740928),POINT (899327.4756135738 6292655.672765765),0.0004369345824740503,10000.0,0.2
80,POINT (891900.2830043179 6281861.907506559),POINT (904985.923560041 6292296.906322859),0.0010029009518392798,10000.0,0.2
81,POINT (901056.8014929103 6279360.000018738),POINT (902326.8204201546 6281375.885314463),0.0007171606901734475,10000.0,0.2
82,POINT (908228.0945298278 6293143.498513649),POINT (913134.6044071236 6289311.4077271465),0.0038346667435083257,10000.0,0.2
83,POINT (906838.1028475496 6287478.180551425),POINT (909380.3581598485 6277725.225109135),0.0015728839332945156,10000.0,0.2
84,POINT (902955.9280172172 6297160.754891081),POINT (903992.6002742359 6293961.775602553),0.0006569816313792264,10000.0,0.2
85,POINT (914425.9955296698 6294608.1253713295),POINT (892616.6311667048 6282788.5171016995),0.002588417919461833,10000.0,0.2
86,POINT (901444.9400829872 6290257.126060106),POINT (899964.9118533949 6289050.941501485),0.0013490094051554096,10000.0,0.2
87,POINT (898230.0055088724 6272328.056351416),POINT (898195.3387578723 6272468.02885065),0.0007928197177440124,10000.0,0.2
88,POINT (910912.0146548876 6289585.51015147),POINT (915391.7166330124 6286712.0652652765),0.002907242980658626,10000.0,0.2
89,POINT (897981.2300982454 6293180.481862204),POINT (896424.5087035258 6291529.76651649),0.0006252480166540059,10000.0,0.2
90,POINT (902948.8718273313 6300715.10904897),POINT (902175.7033740287 6290504.826343762),0.0006810052513806379,10000.0,0.2
91,POINT (908471.8450929167 6288918.9026598735),POINT (906086.1422786536 6291740.6107034525),0.0030383580214112475,10000.0,0.2
92,POINT (906621.4807182532 6284982.630938828),POINT (905217.2672179173 6284313.907487739),0.0012056110311347223,10000.0,0.2
93,POINT (902734.6055686874 6302489.887585316),POINT (911933.1734451005 6296563.491307583),0.00040663795020176146,10000.0,0.2
94,POINT (912234.5694897337 6297080.949819371),POINT (911069.9024515436 6295124.177356679),0.0027808485771964584,10000.0,0.2
95,POINT (901694.5131285617 6284324.325866617),POINT (910592.9836478209 6292110.174985425),0.0009356649646148218,10000.0,0.2
96,POINT (909099.6985776874 6293686.66148027),POINT (911558.167963296 6297023.176406506),0.004038656077284321,10000.0,0.2
97,POINT (910699.2439100288 6282036.00013589),POINT (909270.0474675794 6281389.307835322),0.0014152479908123932,10000.0,0.2
98,POINT (908796.2396637539 6286595.172944756),POINT (905979.9997362038 6285305.762719723),0.001571664972718055,10000.0,0.2
99,POINT (912520.049046856 6293720.271301596),POINT (912741.5783149374 6295087.2966385),0.0037912960050202776,10000.0,0.2
100,POINT (898421.7995024539 6300039.745728975),POINT (897943.4474418558 6299920.871345617),0.0008894004922805052,10000.0,0.2
101,POINT (894047.8833198063 6284605.755941765),POINT (893551.0913407032 6286670.644332873),0.0014676847094613917,10000.0,0.2
102,POINT (890872.8380809783 6281571.840994198),POINT (894222.5682520543 6285182.046334503),0.0007854778130875165,10000.0,0.2
103,POINT (913259.2710077651 6295009.215469822),POINT (909349.2181019448 6294334.526827074),0.0036427920861664977,10000.0,0.2
104,POINT (903809.4972733315 6290130.371663232),POINT (907607.059093101 6276367.073937161),0.0026882525284830185,10000.0,0.2
105,POINT (908213.2967157715 6289614.2062916625),POINT (908687.6522625777 6287746.91377854),0.0034278934444506876,10000.0,0.2
106,POINT (890741.9085969613 6282176.348338962),POINT (893268.251087433 6284195.441011695),0.0008407285831476153,10000.0,0.2
107,POINT (909605.9052404945 6290778.945217812),POINT (910218.6799666609 6290169.510881182),0.003888982571874992,10000.0,0.2
108,POINT (906777.9437990402 6292780.800476957),POINT (895438.9782442627 6301475.510831766),0.0028576480752523785,10000.0,0.2
109,POINT (909772.0891417157 6284464.479368484),POINT (909703.9589104352 6283423.802217072),0.0013278163476514748,10000.0,0.2
110,POINT (904039.7844583126 6291222.290510319),POINT (913852.280182396 6295182.179147084),0.0032523742101525383,10000.0,0.2
111,POINT (909092.9290133463 6289616.999388251),POINT (909099.2593698921 6275262.436578987),0.0035841782258329694,10000.0,0.2
112,POINT (904348.0461741022 6292218.899034443),POINT (911357.5254467521 6273941.168047609),0.0030209327768312495,10000.0,0.2
113,POINT (909267.7786670993 6289691.174704455),POINT (905360.9995336682 6291156.915211065),0.003602344246606316,10000.0,0.2
114,POINT (903299.4652534571 6282882.28729707),POINT (904158.2489373279 6282750.241347084),0.0015014621362539828,10000.0,0.2
115,POINT (903927.2148444867 6280326.361914404),POINT (905957.4934625251 6271176.691459558),0.0009664179687655762,10000.0,0.2
116,POINT (913478.3958090532 6295343.772764286),POINT (897912.0259614994 6291110.138260553),0.0034879880305769867,10000.0,0.2
117,POINT (898641.0068318257 6278576.041328689),POINT (898896.8822970886 6273548.509370745),0.0005206683697010243,10000.0,0.2
118,POINT (896493.8168101427 6286729.511478279),POINT (896582.7578442578 6288482.639475217),0.0010136365531102749,10000.0,0.2
119,POINT (913247.9021256579 6295592.414804939),POINT (913220.1989630098 6288578.900108541),0.00360192149086351,10000.0,0.2
120,POINT (911537.2699018971 6295558.7805798),POINT (906459.7095808538 6290951.886873668),0.004012221313272136,10000.0,0.2
121,POINT (910671.3050478988 6286850.87749894),POINT (908896.7309190546 6282121.406895136),0.001369994585320869,10000.0,0.2
122,POINT (907649.2376607184 6293133.310914617),POINT (894043.8352592306 6286224.255370425),0.003285718268728546,10000.0,0.2
123,POINT (906579.5940660904 6292414.978221785),POINT (901765.2562466739 6294339.843617916),0.0030506922705024466,10000.0,0.2
124,POINT (899239.8533484818 6275456.520472152),POINT (900935.9620895962 6273560.518007619),0.0014658215333781088,10000.0,0.2
125,POINT (906846.2536426254 6271280.078733903),POINT (907304.0192275312 6285105.154640276),0.0005579716018759885,10000.0,0.2
126,POINT (911574.5036072 6297044.309827562),POINT (914248.9707813348 6297676.114945533),0.0026806663754726334,10000.0,0.2
127,POINT (910026.0644931956 6292624.623819284),POINT (908852.1139642138 6291309.223333938),0.004310142462197655,10000.0,0.2
128,POINT (910773.9932682286 6293881.399296703),POINT (910017.7448929425 6293915.574875586),0.004352492152286939,10000.0,0.2
129,POINT (917162.7472676797 6296147.519604402),POINT (910097.3207224932 6297445.715025718),0.001168638526814501,10000.0,0.2
130,POINT (900665.319405396 6283125.737709978),POINT (897959.6535005393 6283289.042823532),0.0006748881694480853,10000.0,0.2
131,POINT (918524.4689986791 6296912.377458116),POINT (910776.337357614 6293881.263815753),0.0007018891689169101,10000.0,0.2
132,POINT (904414.9265758726 6291248.255702365),POINT (914164.3831456216 6291159.547260616),0.003439080878104087,10000.0,0.2
133,POINT (913439.9554367474 6296306.362840091),POINT (912139.3048583295 6295331.326195167),0.0032221652841543124,10000.0,0.2
134,POINT (912025.0657481148 6294514.051448988),POINT (913272.6941173263 6296245.778080918),0.004295809527404223,10000.0,0.2
135,POINT (905137.0855015521 6289989.853512672),POINT (905822.0999518953 6288002.079371132),0.0028486961816538226,10000.0,0.2
136,POINT (893869.3701345958 6286564.430690159),POINT (896283.1112938568 6284011.745555177),0.0012691605497239028,10000.0,0.2
137,POINT (907918.4325208522 6292680.747985637),POINT (910809.9292474566 6295198.404107973),0.003861557207297246,10000.0,0.2
138,POINT (917712.3533432235 6298595.612807592),POINT (914717.5598993513 6297814.640234424),0.0005762390568873568,10000.0,0.2
139,POINT (909446.2463897169 6274293.496054137),POINT (909729.4267165356 6283512.639948051),0.0012685078413254124,10000.0,0.2
140,POINT (897666.1220548493 6290439.101143612),POINT (895176.3217472057 6287809.571261885),0.0006269438674272618,10000.0,0.2
141,POINT (908473.6732840459 6274795.010500417),POINT (910471.1164220823 6271578.2150671035),0.0009111871911114748,10000.0,0.2
142,POINT (905682.452299393 6275237.025092839),POINT (911562.7088692088 6290699.881889589),0.0003203161993275292,10000.0,0.2
143,POINT (901337.0646921403 6285093.543335968),POINT (903289.2599737584 6284701.026626977),0.0008004084220707215,10000.0,0.2
144,POINT (912281.3125688962 6280006.004887722),POINT (909224.5543114066 6281859.565194542),0.0015772988359359385,10000.0,0.2
145,POINT (912267.6073467401 6296530.125446638),POINT (907001.7744926738 6296507.655079864),0.0033581013147690117,10000.0,0.2
146,POINT (909353.8410252386 6283508.812645728),POINT (908271.056794134 6272354.289528241),0.0016523304298968647,10000.0,0.2
147,POINT (911468.807842456 6292841.257448483),POINT (914426.7615026966 6296131.446591241),0.003860402521065305,10000.0,0.2
148,POINT (917162.7472676797 6296147.519604402),POINT (916352.3676547396 6298044.893887496),0.001168638526814501,10000.0,0.2
149,POINT (898440.2285808534 6284594.615923452),POINT (900716.0757563042 6288700.950563552),0.0008190180737834286,10000.0,0.2
150,POINT (899300.1015891337 6292261.943728256),POINT (898573.8809550316 6293344.376439105),0.000718871195848842,10000.0,0.2
151,POINT (907167.9420224177 6289836.741789052),POINT (912907.0191009287 6291838.891059772),0.0030267614432749794,10000.0,0.2
152,POINT (903377.6048133993 6300521.300234349),POINT (901817.8723119526 6301510.312967159),0.0005809609292734922,10000.0,0.2
153,POINT (897849.4401674687 6270340.49413416),POINT (901743.2824113336 6274666.51503622),0.0005285444647679482,10000.0,0.2
154,POINT (898019.1741867221 6300405.611220263),POINT (905254.9457336415 6287516.641212482),0.0010334916002880006,10000.0,0.2
155,POINT (911569.9924123143 6291156.554705076),POINT (911691.3483401947 6288275.5048479345),0.003084425372980966,10000.0,0.2
156,POINT (912548.3718636772 6295493.842514987),POINT (901739.328221313 6290386.587327095),0.003992587775649648,10000.0,0.2
157,POINT (917278.8414231203 6295184.90967177),POINT (917267.7187191333 6295536.301330061),0.0010850468105670532,10000.0,0.2
158,POINT (904392.589622745 6290143.7995521715),POINT (898818.5781660185 6283353.149956992),0.0029392612953191197,10000.0,0.2
159,POINT (913286.2275764683 6292094.939128177),POINT (912747.9591791194 6291271.067347361),0.0025830847429566223,10000.0,0.2
160,POINT (900310.6787408995 6293162.706014868),POINT (899327.4756135738 6292655.672765765),0.0006651389418355255,10000.0,0.2
161,POINT (894121.2890903351 6282398.329129198),POINT (901666.8617690786 6278607.705296693),0.0008424054856369176,10000.0,0.2
162,POINT (910479.7669378369 6290682.24067477),POINT (911685.3251345339 6295709.281098641),0.003439226274058189,10000.0,0.2
163,POINT (911535.3201370791 6274174.19593293),POINT (910444.6879168774 6273362.473238694),0.0014292500932801266,10000.0,0.2
164,POINT (906998.7852428185 6271295.298255777),POINT (909239.1877934267 6282630.390280867),0.0005691906618603041,10000.0,0.2
165,POINT (909477.8530741129 6294215.206266692),POINT (909730.2956370944 6292971.865902635),0.003780524660949455,10000.0,0.2
166,POINT (895853.3241646739 6287487.958397411),POINT (897508.9409160665 6284650.569396435),0.0011217048689557715,10000.0,0.2
167,POINT (910009.6764232846 6276898.462326069),POINT (912596.8975966598 6278691.6517618615),0.0012022459687399168,10000.0,0.2
168,POINT (899146.6643471676 6291519.8249662025),POINT (895259.3961405938 6296484.084930123),0.0007542296386475777,10000.0,0.2
169,POINT (912777.6868868079 6295156.459651105),POINT (917811.5017032032 6294954.421055384),0.003957831760475387,10000.0,0.2
170,POINT (911171.1343974055 6273680.542182699),POINT (896211.2277235598 6285772.678708317),0.0015017102564346403,10000.0,0.2
171,POINT (898007.0823158165 6285079.728752265),POINT (904378.2667289947 6291761.106539551),0.0008091367450577063,10000.0,0.2
172,POINT (905047.6081041552 6291550.3154649),POINT (911641.1191199926 6272827.3521755375),0.003466785609005423,10000.0,0.2
173,POINT (905146.4519964196 6285646.032521216),POINT (909924.8323837807 6274951.593774195),0.0014271184149992106,10000.0,0.2
174,POINT (905916.8961725413 6291505.061277961),POINT (902695.861219375 6285988.122937156),0.0033407173118198685,10000.0,0.2
175,POINT (907054.6589001582 6285590.212014619),POINT (903472.539164619 6280061.238786814),0.0012594086094703338,10000.0,0.2
176,POINT (894850.8623126677 6294176.095763668),POINT (894499.3327549645 6293561.348200204),0.00029558129358289454,10000.0,0.2
177,POINT (894276.5928185243 6284075.322334444),POINT (908978.3222157299 6271299.683627783),0.0013905139563062032,10000.0,0.2
178,POINT (908388.5348086113 6291422.330462055),POINT (911168.4935264568 6292139.616477724),0.004126908105355776,10000.0,0.2
179,POINT (912777.6868868079 6295156.459651105),POINT (911867.9090728846 6296475.440869441),0.003957831760475387,10000.0,0.2
180,POINT (910477.2369129348 6273364.596820787),POINT (908938.5712639135 6277257.64843848),0.0015515562489481194,10000.0,0.2
181,POINT (910504.7963104632 6297511.995462563),POINT (911975.6473195584 6296753.208189705),0.0014976123054677047,10000.0,0.2
182,POINT (899613.0762021963 6282483.869903753),POINT (907003.2558134561 6279236.362360103),0.0006159141404665151,10000.0,0.2
183,POINT (910049.9121895754 6289679.0391164655),POINT (911907.5287101078 6294897.156357409),0.0033282946123675207,10000.0,0.2
184,POINT (902747.3959694186 6282346.362754943),POINT (908712.5402043314 6282535.476962886),0.0013386634042440839,10000.0,0.2
185,POINT (904775.4244538373 6286855.557673982),POINT (901099.8431977446 6285435.8839859795),0.0016938217307432642,10000.0,0.2
186,POINT (899930.9635866247 6276254.702252929),POINT (897573.5555635459 6272453.984537391),0.0011932046569307496,10000.0,0.2
187,POINT (917797.4859840523 6298047.2605278455),POINT (914425.9955296698 6294608.1253713295),0.0007019519350637562,10000.0,0.2
188,POINT (915368.3336468996 6273394.635129381),POINT (908190.9965328348 6283203.903544562),0.0001958245890350526,10000.0,0.2
189,POINT (906204.0201243693 6290060.079870657),POINT (905445.3006800732 6283967.059652175),0.002850138272438275,10000.0,0.2
190,POINT (915307.8320986717 6290937.866626179),POINT (912462.9860962618 6290147.558170099),0.0012224814805287731,10000.0,0.2
191,POINT (916045.795495491 6297067.570338919),POINT (917816.1419850314 6294951.142191928),0.0015267740294360988,10000.0,0.2
192,POINT (908023.8707658696 6280320.110421987),POINT (904906.3124126315 6287771.620287198),0.0011491271938753641,10000.0,0.2
193,POINT (911586.6571789564 6294618.160539249),POINT (897196.5721240203 6294606.381238559),0.004356755364629626,10000.0,0.2
194,POINT (905875.5793500752 6283839.28019537),POINT (897821.199980587 6275365.803223316),0.001125759692616075,10000.0,0.2
195,POINT (915502.4920581323 6272312.519814682),POINT (903745.2996136928 6278212.202805059),0.00016117701311009507,10000.0,0.2
196,POINT (904640.8165593634 6279289.09365472),POINT (903562.7395595018 6283758.5489153),0.0008424578553286319,10000.0,0.2
197,POINT (909741.5071995121 6272494.149148381),POINT (910275.6367135734 6272341.697122289),0.001292990019307714,10000.0,0.2
198,POINT (911118.3363934613 6296429.927981629),POINT (910290.0243241882 6293274.168658834),0.003057857150339153,10000.0,0.2
199,POINT (892728.4123431636 6284052.652597325),POINT (893424.538113301 6282239.564879665),0.001289591253661207,10000.0,0.2
200,POINT (907313.7408061507 6292549.638299722),POINT (910987.9375963993 6295065.693543989),0.0034367721610475115,10000.0,0.2
201,POINT (906621.4807182532 6284982.630938828),POINT (905217.2672179173 6284313.907487739),0.0012056110311347223,10000.0,0.2
202,POINT (900845.2859655349 6287283.759329412),POINT (897025.5985539518 6284888.760386448),0.0006688110424033941,10000.0,0.2
203,POINT (909832.9996662068 6291235.938455265),POINT (908454.7009396553 6291471.687174195),0.003905863582195979,10000.0,0.2
204,POINT (910325.501459202 6289570.774391925),POINT (909817.8725897906 6289532.409166763),0.0031521972729887846,10000.0,0.2
205,POINT (905530.9371568449 6280453.119925497),POINT (909239.1877934267 6282630.390280867),0.0009861200139661653,10000.0,0.2
206,POINT (899843.0989346157 6300912.3825414665),POINT (908844.6050406164 6291116.49118753),0.00044984621271040875,10000.0,0.2
207,POINT (913235.8134910475 6293014.570531627),POINT (908147.6687061172 6292829.552205041),0.002940022390928084,10000.0,0.2
208,POINT (909079.8751137108 6289635.817034396),POINT (911452.3665828852 6288677.1885785265),0.003595966180123778,10000.0,0.2
209,POINT (892527.4818195028 6281453.847800821),POINT (892127.179992984 6284009.232956722),0.0008538102252884056,10000.0,0.2
210,POINT (913017.0334843753 6280468.619523052),POINT (911428.8698752486 6279638.477884857),0.0011607434862776112,10000.0,0.2
211,POINT (906016.1243227498 6284256.090219894),POINT (905180.904227694 6285169.420963716),0.0011432703606823094,10000.0,0.2
212,POINT (912844.4873030311 6285953.855978437),POINT (905806.043052503 6292437.126237962),0.0008671122209627429,10000.0,0.2
213,POINT (910411.072239486 6273637.879698786),POINT (910029.7839803005 6273508.9970813375),0.001556028951540267,10000.0,0.2
214,POINT (904389.945094896 6291635.006205522),POINT (902637.5673365818 6282086.329277745),0.003368423804102197,10000.0,0.2
215,POINT (901186.3834033441 6298442.388542569),POINT (908283.8126111629 6275221.972327298),0.0005153595191923613,10000.0,0.2
216,POINT (899363.6026940199 6288076.884227786),POINT (897705.8414272824 6283457.25750206),0.0006250901608484444,10000.0,0.2
217,POINT (910010.3146094714 6292142.862079858),POINT (912467.4683187808 6295826.66353783),0.004140433694113499,10000.0,0.2
218,POINT (905731.9930083486 6276549.149928944),POINT (901540.0160697987 6273456.70373849),0.0004714265782986752,10000.0,0.2
219,POINT (912127.4773462242 6284233.707374364),POINT (913131.1745655709 6287106.362438457),0.0009138711750073502,10000.0,0.2
220,POINT (910496.2401717454 6273086.5263877455),POINT (907801.510368155 6276490.2521939315),0.0015272406322887249,10000.0,0.2
221,POINT (910115.8113714706 6280146.6281449525),POINT (909263.0531020348 6279973.30379682),0.0014753165941000287,10000.0,0.2
222,POINT (908541.1695863863 6293771.123956801),POINT (908820.9139962334 6292178.519742925),0.0035244666253881627,10000.0,0.2
223,POINT (904436.7584919976 6291054.841728894),POINT (894161.3719261435 6288675.4450888),0.0034246758843460043,10000.0,0.2
224,POINT (892049.2410810331 6281713.320884153),POINT (906877.7690063044 6284559.887742808),0.0009658514924480472,10000.0,0.2
225,POINT (904418.716373431 6292406.963867828),POINT (895953.5666648124 6294193.127401095),0.0028974540464086463,10000.0,0.2
226,POINT (911509.5725901331 6288854.508338214),POINT (903967.2206759686 6291192.371807942),0.002241436738419723,10000.0,0.2
227,POINT (914081.8062729805 6294574.325795652),POINT (912274.7508185045 6298498.585296515),0.002885689566578211,10000.0,0.2
228,POINT (909959.803175118 6272768.4678192865),POINT (910737.2923575445 6271608.910524244),0.001400270269320729,10000.0,0.2
229,POINT (907763.9663112458 6291942.111113289),POINT (902264.2654483544 6292394.569629865),0.003931556809514152,10000.0,0.2
