,Node,Comune,f
127,POINT (910026.0644931956 6292624.623819284),providencia,0.004310142462197655
128,POINT (910773.9932682286 6293881.399296703),las condes,0.004352492152286939
129,POINT (917162.7472676797 6296147.519604402),las condes,0.001168638526814501
130,POINT (900665.319405396 6283125.737709978),lo espejo,0.0006748881694480853
131,POINT (918524.4689986791 6296912.377458116),las condes,0.0007018891689169101
132,POINT (904414.9265758726 6291248.255702365),santiago,0.003439080878104087
133,POINT (913439.9554367474 6296306.362840091),las condes,0.0032221652841543124
134,POINT (912025.0657481148 6294514.051448988),las condes,0.004295809527404223
135,POINT (905137.0855015521 6289989.853512672),santiago,0.0028486961816538226
136,POINT (893869.3701345958 6286564.430690159),maipu,0.0012691605497239028
137,POINT (907918.4325208522 6292680.747985637),providencia,0.003861557207297246
138,POINT (917712.3533432235 6298595.612807592),las condes,0.0005762390568873568
139,POINT (909446.2463897169 6274293.496054137),puente alto,0.0012685078413254124
140,POINT (897666.1220548493 6290439.101143612),lo prado,0.0006269438674272618
141,POINT (908473.6732840459 6274795.010500417),puente alto,0.0009111871911114748
142,POINT (905682.452299393 6275237.025092839),la pintana,0.0003203161993275292
143,POINT (901337.0646921403 6285093.543335968),pedro aguirre cerda,0.0008004084220707215
144,POINT (912281.3125688962 6280006.004887722),la florida,0.0015772988359359385
145,POINT (912267.6073467401 6296530.125446638),vitacura,0.0033581013147690117
146,POINT (909353.8410252386 6283508.812645728),la florida,0.0016523304298968647
147,POINT (911468.807842456 6292841.257448483),las condes,0.003860402521065305
148,POINT (917162.7472676797 6296147.519604402),las condes,0.001168638526814501
149,POINT (898440.2285808534 6284594.615923452),cerrillos,0.0008190180737834286
150,POINT (899300.1015891337 6292261.943728256),quinta normal,0.000718871195848842
151,POINT (907167.9420224177 6289836.741789052),nunoa,0.0030267614432749794
152,POINT (903377.6048133993 6300521.300234349),huechuraba,0.0005809609292734922
153,POINT (897849.4401674687 6270340.49413416),san bernardo,0.0005285444647679482
154,POINT (898019.1741867221 6300405.611220263),quilicura,0.0010334916002880006
155,POINT (911569.9924123143 6291156.554705076),nunoa,0.003084425372980966
156,POINT (912548.3718636772 6295493.842514987),las condes,0.003992587775649648
157,POINT (917278.8414231203 6295184.90967177),las condes,0.0010850468105670532
158,POINT (904392.589622745 6290143.7995521715),santiago,0.0029392612953191197
159,POINT (913286.2275764683 6292094.939128177),la reina,0.0025830847429566223
160,POINT (900310.6787408995 6293162.706014868),quinta normal,0.0006651389418355255
161,POINT (894121.2890903351 6282398.329129198),maipu,0.0008424054856369176
162,POINT (910479.7669378369 6290682.24067477),nunoa,0.003439226274058189
163,POINT (911535.3201370791 6274174.19593293),puente alto,0.0014292500932801266
164,POINT (906998.7852428185 6271295.298255777),puente alto,0.0005691906618603041
165,POINT (909477.8530741129 6294215.206266692),las condes,0.003780524660949455
166,POINT (895853.3241646739 6287487.958397411),maipu,0.0011217048689557715
167,POINT (910009.6764232846 6276898.462326069),la florida,0.0012022459687399168
168,POINT (899146.6643471676 6291519.8249662025),quinta normal,0.0007542296386475777
169,POINT (912777.6868868079 6295156.459651105),las condes,0.003957831760475387
170,POINT (911171.1343974055 6273680.542182699),puente alto,0.0015017102564346403
171,POINT (898007.0823158165 6285079.728752265),cerrillos,0.0008091367450577063
172,POINT (905047.6081041552 6291550.3154649),santiago,0.003466785609005423
173,POINT (905146.4519964196 6285646.032521216),san joaquin,0.0014271184149992106
174,POINT (905916.8961725413 6291505.061277961),providencia,0.0033407173118198685
175,POINT (907054.6589001582 6285590.212014619),san joaquin,0.0012594086094703338
176,POINT (894850.8623126677 6294176.095763668),cerro navia,0.00029558129358289454
177,POINT (894276.5928185243 6284075.322334444),maipu,0.0013905139563062032
178,POINT (908388.5348086113 6291422.330462055),providencia,0.004126908105355776
179,POINT (912777.6868868079 6295156.459651105),las condes,0.003957831760475387
180,POINT (910477.2369129348 6273364.596820787),puente alto,0.0015515562489481194
181,POINT (910504.7963104632 6297511.995462563),vitacura,0.0014976123054677047
182,POINT (899613.0762021963 6282483.869903753),lo espejo,0.0006159141404665151
183,POINT (910049.9121895754 6289679.0391164655),nunoa,0.0033282946123675207
184,POINT (902747.3959694186 6282346.362754943),la cisterna,0.0013386634042440839
185,POINT (904775.4244538373 6286855.557673982),san miguel,0.0016938217307432642
186,POINT (899930.9635866247 6276254.702252929),san bernardo,0.0011932046569307496
187,POINT (917797.4859840523 6298047.2605278455),las condes,0.0007019519350637562
188,POINT (915368.3336468996 6273394.635129381),puente alto,0.0001958245890350526
189,POINT (906204.0201243693 6290060.079870657),santiago,0.002850138272438275
190,POINT (915307.8320986717 6290937.866626179),la reina,0.0012224814805287731
191,POINT (916045.795495491 6297067.570338919),las condes,0.0015267740294360988
192,POINT (908023.8707658696 6280320.110421987),la florida,0.0011491271938753641
193,POINT (911586.6571789564 6294618.160539249),las condes,0.004356755364629626
194,POINT (905875.5793500752 6283839.28019537),san joaquin,0.001125759692616075
195,POINT (915502.4920581323 6272312.519814682),puente alto,0.00016117701311009507
196,POINT (904640.8165593634 6279289.09365472),san ramon,0.0008424578553286319
197,POINT (909741.5071995121 6272494.149148381),puente alto,0.001292990019307714
198,POINT (911118.3363934613 6296429.927981629),vitacura,0.003057857150339153
199,POINT (892728.4123431636 6284052.652597325),maipu,0.001289591253661207
200,POINT (907313.7408061507 6292549.638299722),providencia,0.0034367721610475115
201,POINT (906621.4807182532 6284982.630938828),san joaquin,0.0012056110311347223
202,POINT (900845.2859655349 6287283.759329412),cerrillos,0.0006688110424033941
203,POINT (909832.9996662068 6291235.938455265),providencia,0.003905863582195979
204,POINT (910325.501459202 6289570.774391925),nunoa,0.0031521972729887846
205,POINT (905530.9371568449 6280453.119925497),la granja,0.0009861200139661653
206,POINT (899843.0989346157 6300912.3825414665),quilicura,0.00044984621271040875
207,POINT (913235.8134910475 6293014.570531627),las condes,0.002940022390928084
208,POINT (909079.8751137108 6289635.817034396),nunoa,0.003595966180123778
209,POINT (892527.4818195028 6281453.847800821),maipu,0.0008538102252884056
210,POINT (913017.0334843753 6280468.619523052),la florida,0.0011607434862776112
211,POINT (906016.1243227498 6284256.090219894),san joaquin,0.0011432703606823094
212,POINT (912844.4873030311 6285953.855978437),penalolen,0.0008671122209627429
213,POINT (910411.072239486 6273637.879698786),puente alto,0.001556028951540267
214,POINT (904389.945094896 6291635.006205522),santiago,0.003368423804102197
215,POINT (901186.3834033441 6298442.388542569),conchali,0.0005153595191923613
216,POINT (899363.6026940199 6288076.884227786),estacion central,0.0006250901608484444
217,POINT (910010.3146094714 6292142.862079858),providencia,0.004140433694113499
218,POINT (905731.9930083486 6276549.149928944),la pintana,0.0004714265782986752
219,POINT (912127.4773462242 6284233.707374364),penalolen,0.0009138711750073502
220,POINT (910496.2401717454 6273086.5263877455),puente alto,0.0015272406322887249
221,POINT (910115.8113714706 6280146.6281449525),la florida,0.0014753165941000287
222,POINT (908541.1695863863 6293771.123956801),providencia,0.0035244666253881627
223,POINT (904436.7584919976 6291054.841728894),santiago,0.0034246758843460043
224,POINT (892049.2410810331 6281713.320884153),maipu,0.0009658514924480472
225,POINT (904418.716373431 6292406.963867828),santiago,0.0028974540464086463
226,POINT (911509.5725901331 6288854.508338214),nunoa,0.002241436738419723
227,POINT (914081.8062729805 6294574.325795652),las condes,0.002885689566578211
228,POINT (909959.803175118 6272768.4678192865),puente alto,0.001400270269320729
229,POINT (907763.9663112458 6291942.111113289),providencia,0.003931556809514152
230,POINT (905786.4138965904 6275205.903739642),la pintana,0.00032542202580829795
231,POINT (902526.8563334947 6283138.7736082915),la cisterna,0.0013244207484716243
232,POINT (903992.6947103557 6293968.292194163),independencia,0.0014624730511113677
233,POINT (905472.7963531393 6280597.974196151),la granja,0.0009876623674169086
234,POINT (909622.1632619936 6281532.463550432),la florida,0.0016033289207934517
235,POINT (910592.8539507801 6292111.185969704),providencia,0.0038599656682974204
236,POINT (913132.801644607 6287139.886334613),penalolen,0.0009668474431310483
237,POINT (899256.2480833929 6293757.93316444),quinta normal,0.0006476466080575847
238,POINT (901960.6284306669 6274420.608401542),san bernardo,0.00073154990100946
239,POINT (914399.5021711491 6291418.911862891),la reina,0.0018095420264713999
240,POINT (912615.0971777104 6293006.800188859),las condes,0.003349508718238429
241,POINT (912930.1643075851 6292129.074486513),la reina,0.0027852227115420266
242,POINT (911515.039628577 6292489.36772457),las condes,0.0036444613214358336
243,POINT (905771.1045660655 6282626.670239221),la granja,0.0010467799913864634
244,POINT (910286.5032672632 6288638.285498921),nunoa,0.002565593453358321
245,POINT (899609.5538323243 6286364.999501804),cerrillos,0.0005338655785182887
246,POINT (890963.5187346898 6278645.186638164),maipu,0.0003367477591499483
247,POINT (912716.8088635716 6276587.822871154),puente alto,0.0011752482596879509
248,POINT (907239.8229268698 6291435.077471379),providencia,0.003634308031320059
249,POINT (906579.5940660904 6292414.978221785),providencia,0.0030506922705024466
250,POINT (905069.6632440399 6287912.175453221),santiago,0.001743599378758086
251,POINT (910881.1955343697 6285025.912069678),penalolen,0.0010908983235564356
252,POINT (905304.5024032088 6290808.988079216),santiago,0.0033344238599796114
253,POINT (908225.7789737077 6289867.358185484),nunoa,0.003568079137619407
254,POINT (908391.9104408395 6290817.051446735),providencia,0.003972635218034845
255,POINT (901960.6284306669 6274420.608401542),san bernardo,0.00073154990100946
256,POINT (899806.6398535483 6291431.490359714),quinta normal,0.0008109350070205185
257,POINT (904389.945094896 6291635.006205522),santiago,0.003368423804102197
258,POINT (903429.2515263872 6281140.395101601),la cisterna,0.0011696151084141001
259,POINT (901397.024279831 6277621.490730868),el bosque,0.0008386842786429109
260,POINT (898547.1969287428 6277216.9494408015),san bernardo,0.0008400590724509823
261,POINT (891762.1739630147 6284013.826884301),maipu,0.001125749535626303
262,POINT (918546.3142570059 6296581.436514961),las condes,0.0007159980016683137
263,POINT (909358.763918353 6280562.315516645),la florida,0.0014113096882696669
264,POINT (913553.8620504292 6296489.448832262),vitacura,0.003073600693249934
265,POINT (909995.3742282814 6275151.709296066),puente alto,0.0013744078574774044
266,POINT (898949.557143288 6303474.2343164),quilicura,0.0002616080006718921
267,POINT (904276.269126493 6286435.433050576),san miguel,0.0017932842469065137
268,POINT (908804.0576743844 6282549.239128478),la florida,0.0018443637790168936
269,POINT (911691.3483401947 6288275.5048479345),penalolen,0.0017755139292407226
270,POINT (908489.5959992751 6284915.570116722),macul,0.001418944436088507
271,POINT (904077.1871449514 6289225.87534865),santiago,0.002154704628133312
272,POINT (904354.9462743273 6286570.350848947),san miguel,0.0017786897789363102
273,POINT (911598.3685620863 6282005.46206104),la florida,0.0013101710002433905
274,POINT (909327.134669797 6293512.961111822),las condes,0.004266386581128701
275,POINT (899629.6155606871 6273987.561903911),san bernardo,0.001363739054406956
276,POINT (913600.8406628736 6293482.687495355),las condes,0.0028794198644420993
277,POINT (915542.2776107918 6289605.635800727),la reina,0.000882504741589491
278,POINT (904175.4280512378 6290619.932331724),santiago,0.0031727251742608674
279,POINT (906473.9676886718 6287644.254851511),san joaquin,0.0015868305211513636
280,POINT (900224.5175891134 6303959.064003133),quilicura,0.00015008084776396604
281,POINT (911744.9904498381 6281027.069932894),la florida,0.001569530675418823
282,POINT (903869.8206846883 6291464.405872548),santiago,0.0030971980109044447
283,POINT (915456.0278087838 6297415.238804454),vitacura,0.001774034532206116
284,POINT (910444.6879168774 6273362.473238694),puente alto,0.0015489847201547013
285,POINT (912809.4687358107 6296494.813392399),vitacura,0.003296605146807878
286,POINT (906769.7667842596 6289146.83692511),nunoa,0.002460365069284293
287,POINT (910554.6420886709 6294495.163050741),las condes,0.0041218447408598044
288,POINT (908350.5752946988 6292795.745805891),providencia,0.004130728454561011
289,POINT (914919.1178812062 6273535.130815977),puente alto,0.0002297890334744136
290,POINT (905023.5919827202 6291816.604237085),santiago,0.003379852488517769
291,POINT (899821.9316691023 6280516.742721433),san bernardo,0.00041332244713586673
292,POINT (894181.1769675897 6284215.288110732),maipu,0.0014255924216068452
293,POINT (899117.1363050686 6274962.975772237),san bernardo,0.001517021602061444
294,POINT (894160.334473876 6284044.93693732),maipu,0.0013991902674284466
295,POINT (890741.9085969613 6282176.348338962),maipu,0.0008407285831476153
296,POINT (911267.7569434475 6285692.928105491),penalolen,0.0010497056749515764
297,POINT (910302.5089358953 6274568.4072641395),puente alto,0.001498889935470966
298,POINT (899742.2313254604 6295735.003687842),renca,0.0004978860836747591
299,POINT (914411.0753907978 6296687.30662637),las condes,0.002646076220097281
300,POINT (917985.4753897883 6298640.5619410835),lo barnechea,0.0005326801950528057
301,POINT (906110.1488597885 6292046.771776548),providencia,0.003160154519604346
302,POINT (897500.3938053447 6299658.998159321),quilicura,0.0010440856341698208
303,POINT (896493.8168101427 6286729.511478279),maipu,0.0010136365531102749
304,POINT (908055.1196517216 6293137.442571599),providencia,0.003682403936643524
305,POINT (903007.0453071714 6301603.247681154),huechuraba,0.0005832412132300551
306,POINT (910958.5015216494 6292859.720322097),las condes,0.004069697526074773
307,POINT (912221.1510711393 6295003.468985014),las condes,0.004228892239706171
308,POINT (913773.5029032654 6296944.906348495),vitacura,0.00269985364231247
309,POINT (902670.6844659183 6290624.693870263),santiago,0.002032743293016056
310,POINT (898031.9654833004 6276193.353498818),san bernardo,0.0008907868327408177
311,POINT (902008.1014424291 6279518.54528632),el bosque,0.0009459365671459738
312,POINT (911308.4844117949 6297358.713183956),vitacura,0.002197522178619183
313,POINT (900139.3125545275 6289683.993108298),estacion central,0.0009452103300203279
314,POINT (908781.5455920887 6289338.491506934),nunoa,0.0034040275246065925
315,POINT (912271.9907970718 6294251.414454867),las condes,0.004147113683704614
316,POINT (898007.0823158165 6285079.728752265),cerrillos,0.0008091367450577063
317,POINT (894276.5928185243 6284075.322334444),maipu,0.0013905139563062032
318,POINT (909615.1551010681 6295031.621053267),vitacura,0.0030111732883218926
319,POINT (901589.5026164823 6290296.423028965),estacion central,0.0014062861610933527
320,POINT (912385.9329728317 6291472.636035404),la reina,0.002858979046089746
321,POINT (903766.5262221133 6286430.832003339),san miguel,0.0017481245262112167
322,POINT (898568.8125244142 6274541.804530703),san bernardo,0.0013716553815307983
323,POINT (912160.3402296954 6293385.821138183),las condes,0.003832884424372587
324,POINT (911458.112721672 6297010.892073868),vitacura,0.002663807565286744
325,POINT (911198.7025476049 6284639.237661242),penalolen,0.0010453014425472926
326,POINT (914341.7128865697 6289806.055630885),la reina,0.001427551078695112
327,POINT (906846.2536426254 6271280.078733903),puente alto,0.0005579716018759885
328,POINT (898075.5379039551 6286048.983537493),cerrillos,0.0006667852920867188
329,POINT (907588.8960845349 6293021.403218074),providencia,0.0033280629721172063
330,POINT (897959.6535005393 6283289.042823532),cerrillos,0.0008220567099619091
331,POINT (903370.7880590186 6295786.745940607),independencia,0.0008216352672473793
332,POINT (908930.598748008 6285686.781202955),macul,0.0013638579025903028
333,POINT (910557.9023727821 6282315.6375544295),la florida,0.0014120893259441337
334,POINT (912362.7735020892 6296836.718646817),vitacura,0.003044917778680028
335,POINT (905290.5768076237 6291096.268005364),santiago,0.0034276526478797527
336,POINT (900042.274795347 6271807.879864145),san bernardo,0.0006562576712793713
337,POINT (909040.275632395 6278691.23593639),la florida,0.0011249847485504214
338,POINT (896811.4342685267 6300554.06703712),quilicura,0.0011675997202595348
339,POINT (912960.609034028 6292468.510087627),las condes,0.002886099642412104
340,POINT (906416.7685809722 6288320.868409343),santiago,0.001892593484946597
341,POINT (905790.0057865024 6294229.153997853),recoleta,0.0012226953050777248
342,POINT (902661.7814988379 6296134.738420617),conchali,0.0006926748655460423
343,POINT (896363.7226309696 6292715.156480436),cerro navia,0.00047461797906142816
344,POINT (907598.7428808012 6283741.954408792),macul,0.0015095376294307883
345,POINT (914747.7403938794 6297208.768367862),vitacura,0.002240139446713806
346,POINT (910190.6441274129 6289800.346241148),nunoa,0.003319427047822902
347,POINT (908426.8931002961 6278629.981203063),la florida,0.0010157121577185494
348,POINT (913056.3831662079 6289887.439026448),la reina,0.0020969059679342007
349,POINT (899759.4735130228 6303742.070733506),quilicura,0.0001935540220052977
350,POINT (898901.4041170675 6293252.200754161),quinta normal,0.000665697001243621
351,POINT (910058.1783552513 6291748.236458022),providencia,0.003964371570332059
352,POINT (913480.3705562174 6293658.744555496),las condes,0.0030509655481412118
353,POINT (905197.4801715374 6287681.5175081715),santiago,0.001682685277308482
354,POINT (898494.2912137388 6272010.195661706),san bernardo,0.0008072453920009306
355,POINT (904354.9462743273 6286570.350848947),san miguel,0.0017786897789363102
356,POINT (914944.262877909 6297445.2934720125),vitacura,0.0020139766177246885
357,POINT (912981.4708516621 6286213.864749545),penalolen,0.0008773713928323687
358,POINT (902852.3609536903 6296227.578354708),conchali,0.0007116877197817964
359,POINT (915923.274951567 6296524.698657682),las condes,0.0016602298379498376
360,POINT (896803.2703320663 6269951.31310492),san bernardo,0.00026906582574534805
361,POINT (907695.0998580746 6291385.668905469),providencia,0.0038406397131509366
362,POINT (908592.2349588653 6290134.150594436),nunoa,0.0038017841148083693
363,POINT (915235.8546150392 6283096.244029295),penalolen,0.00024427573357590934
364,POINT (910762.3885274413 6284377.009378007),penalolen,0.0011315603440325474
365,POINT (905092.7709355248 6287079.0077978745),san joaquin,0.0016204584642276916
366,POINT (911574.0162491597 6281862.8700228445),la florida,0.0013513495651450525
367,POINT (897283.1341195303 6292289.774696),cerro navia,0.0005949773143122011
368,POINT (918235.7306257256 6298170.98938038),las condes,0.0005973773033671817
369,POINT (896608.926768204 6285796.802285207),maipu,0.000980656023028466
370,POINT (903972.9597827836 6285212.792183016),san miguel,0.0018118866141785704
371,POINT (911720.7323081335 6289659.64290685),nunoa,0.002619181356704339
372,POINT (903716.7608159703 6284412.369955407),san miguel,0.0017468967615286062
373,POINT (904124.6191116236 6294551.164591504),independencia,0.0011941206114211517
374,POINT (905102.761139732 6286297.270934361),san joaquin,0.001530073284176618
375,POINT (905618.2090654657 6297732.463664971),huechuraba,0.0006886192782385615
376,POINT (902542.243277549 6283183.535926196),la cisterna,0.001333458831069662
377,POINT (910203.0761661062 6291873.320371246),providencia,0.003942976027157419
378,POINT (914448.0909628029 6297515.592376208),vitacura,0.0021192480599682814
379,POINT (907650.8249414216 6289013.0716794785),nunoa,0.0027801037646484165
380,POINT (904729.4390961528 6290841.246426115),santiago,0.003406402710904374
381,POINT (908896.7309190546 6282121.406895136),la florida,0.0017959916846561554
382,POINT (909184.1571794869 6292523.279863488),providencia,0.004446804275583289
383,POINT (911168.2341292547 6292141.6384621095),las condes,0.0036134144119800453
